French,Portuguese
de,de
je,eu
est,leste
pas,não
le,o
que,que
la,lá
vous,você
tu,você
un,um
c',isso é
à,tem
et,e
il,ele
a,tem
l',eu'
ne,nascer
les,o
j',eu
en,em
on,nós
ça,que
une,um
d',de
ce,esse
qu',que
pour,para
ai,ai
n',não
des,do
qui,quem
mais,mas
dans,em
nous,nós
elle,ela
me,meu
bien,bom
si,se
du,de
y,sim
suis,sou
non,não
t',você
avec,com
tout,todos
plus,mais
mon,meu
m',meu
te,você
au,no
fait,fazer
moi,meu
s',se
oui,sim
va,ir
était,era
as,ás
faire,pendência
ils,eles
sur,sobre
quoi,o que
se,se
comme,como
sais,saber
être,ser
veux,querer
ici,aqui
ma,meu
toi,você
est-ce,é isto
dit,disse
lui,ele
votre,seu
es,são
pourquoi,por que
où,ou
là,lá
rien,nada
cette,esse
sont,são
quand,quando
peux,pode
dire,dizer
son,dela
avez,ter
vais,ir
alors,então
ton,seu
comment,como
par,por
ou,ou
chose,coisa
bon,bom
ont,ter
merci,obrigado
juste,apenas
très,muito
jamais,nunca
été,verão
aussi,também
avoir,ter
vraiment,realmente
voir,ver
même,até
sa,isso é
oh,oh
maintenant,agora
tous,todos
peut,pode
deux,dois
ces,esses
êtes,são
allez,prossiga
ta,seu
autre,outro
peu,pequeno
temps,tempo
quelque,alguns
fais,fazer
toujours,sempre
encore,de novo
notre,nosso
mes,meu
besoin,precisar
avait,tive
accord,acordo
faut,deve
dois,precisa
vie,vida
peut-être,talvez
aller,ir
fois,vezes
vu,visto
donc,então
sans,sem
monde,mundo
étais,era
parce,porque
avant,antes
sûr,sobre
trop,demais
quelqu',alguém
parler,falar
personne,pessoa
avais,tive
père,pai
crois,acreditar
après,depois
aux,para
dieu,deus
ouais,sim
ses,dele
pense,pensar
eu,tive
aime,amor
leur,deles
homme,homem
viens,vir
vrai,verdadeiro
femme,mulheres
ok,ok
doit,deve
veut,quero
ans,anos
m.,senhor.
mal,errado
chez,na casa de
déjà,já
depuis,desde
beaucoup,bastante
vos,seu
bonne,bom
mort,morto
mieux,melhorar
vas,ir
mère,mãe
sera,vai ser
dis,dizer
fille,garota
tes,seu
gens,pessoas
quel,o que
vois,ver
désolé,desculpe
ca,que
voilà,lá
avons,ter
petit,pequeno
maison,casa
soit,qualquer
cela,que
autres,outros
toute,todos
soir,noite
passé,passar
prendre,pegar
jour,dia
monsieur,senhor
nos,nosso
savoir,saber
choses,coisas
salut,oi
cet,esse
nom,nome
argent,dinheiro
bonjour,bom dia
nuit,noite
raison,razão
moins,menos
arrive,chegado
maman,mãe
reste,ficar
moment,momento
voulais,desejado
seul,sozinho
aider,ajuda
air,ar
entre,entre
papa,pai
passe,passar
aurais,teria
problème,emitir
ah,oh
peur,temer
regarde,olhe
voulez,querer
gars,pessoal
trouvé,encontrar
fils,filho
attends,espere
savez,saber
jusqu',até
trouver,encontrar
trois,três
assez,suficiente
famille,família
dû,de
eh,eh
toutes,todos
plaît,por favor
pourrait,poderia
travail,trabalhar
pris,levado
pu,poderia
tête,cabeça
quelle,o que
sait,sabe
sommes,são
appelle,chamadas
quelques,um pouco
faites,fazer
partir,deixar
vite,rapidamente
arrête,parar
seule,sozinho
serait,seria
voiture,carro
enfants,crianças
tuer,matar
merde,merda
hé,ei
pendant,durante
idée,ideia
chance,chance
parle,falar
aurait,teria
part,folhas
elles,eles
jours,dias
grand,grande
aujourd'hui,hoje
venir,vir
ami,amigo
demain,amanhã
hein,eh
tard,tarde
puis,então
truc,coisa
passer,passar
petite,pequeno
tant,muito
connais,saber
combien,quanto
mec,cara
sens,senso
pouvez,pode
porte,porta
sortir,sair
super,ótimo
heure,hora
contre,contra
coup,corte
comprends,entender
entendu,ouviu
vient,vir
allons,vamos
ensemble,junto
nouveau,novo
amour,amor
importe,importado
sang,sangue
désolée,desculpe
cas,caso
sous,abaixo
rester,ficar
amis,amigos
prends,pegar
fini,finalizado
hommes,homens
tué,morto
question,pergunta
partie,papel
histoire,história
devrais,deve
aide,ajuda
dernière,durar
demande,solicitar
chercher,procurar
pensais,pensamento
genre,gênero
seulement,apenas
police,polícia
car,porque
mois,mês
frère,irmão
laisser,sair
aucun,nenhum
mettre,colocar
eux,eles
laisse,deixe em paz
chaque,cada
ville,cidade
arrivé,chegado
devrait,deve
parlé,falar
avez-vous,você tem
vont,estão indo
longtemps,muito tempo
aucune,nenhum
heures,horas
bébé,bebê
place,lugar
revoir,adeus
putain,droga
compris,entendido
ni,nenhum
savais,sabia
leurs,deles
étaient,eram
attention,atenção
donner,dar
affaire,assunto
endroit,lugar
pourrais,poderia
corps,corpo
façon,caminho
donné,dado
est-il,ele é
voici,aqui está
train,trem
dont,dos quais
écoute,ouvir
yeux,olhos
trouve,encontrar
pouvoir,poder
type,tipo
perdu,perdido
premier,primeiro
première,primeiro
côté,lado
point,apontar
tellement,tal
main,mão
tiens,segurar
sois,ser
enfant,criança
vieux,velho
matin,manhã
venu,veio
pardon,perdão
là-bas,lá
suite,seguindo
vers,em direção a
minutes,minutos
demandé,solicitar
venez,vir
devant,na frente
dr,dr.
enfin,finalmente
arrêter,parar
cause,causa
nouvelle,novo
attendez,espere
chambre,quarto
droit,certo
parti,festa
mis,colocar
eau,água
compte,conta
dirait,diria
terre,terra
belle,lindo
espère,ter esperança
aimerais,gostaria
loin,distante
as-tu,você tem
mari,marido
donne,dado
fin,fim
croire,acreditar
mme,senhora
aura,terá
gros,gordo
boulot,trabalho
plutôt,em vez de
chérie,querido
prêt,preparar
filles,garotas
bureau,mesa
mourir,morrer
hier,ontem
possible,possível
jouer,jogar
demander,perguntar
celui,aquele
voulait,desejado
beau,lindo
jeune,jovem
euh,uh
dehors,fora
docteur,doutor
a-t-il,ele fez
confiance,confiar
appeler,ligar
années,anos
vérité,verdade
école,escola
chef,chefe
femmes,mulheres
propos,sobre
semaine,semana
vivre,ao vivo
regardez,olhar
feu,fogo
journée,dia
madame,sra.
hey,ei
téléphone,telefone
près,fechar
affaires,negócios
meilleur,melhor
devez,deve
dessus,acima
mains,mãos
penses,pensar
prie,rezar
équipe,equipe
vas-y,vá em frente
grande,grande
manger,comer
arriver,chegar
dur,duro
guerre,guerra
ait,ter
appelé,chamado
marche,andar
sécurité,segurança
garçon,garoto
essaie,tentar
important,importante
dites,dizer
exactement,exatamente
font,fazer
fort,forte
presque,quase
plein,completo
derrière,atrás
ben,bem
mariage,casado
parents,pais
capitaine,capitão
dernier,durar
fou,louco
ceux,aqueles
tomber,cair
attendre,esperar por
vue,visualizar
pensé,pensar
souviens,lembrar
envie,inveja
fête,festa
jeu,jogo
génial,incrível
pays,país
garde,guarda
cours,curso
bientôt,breve
ii,eu
numéro,número
personnes,pessoas